reference,source_type,year,page,term,defined,type,definition,definitions_cited,definition_breadth,emic_component,functional_component,morphological_component,raw_material_component,technological_component,materialist_typological,region,notes
"Lilley, I. 1982 A finger on the pulse: analysis of site location patterns in subcoastal Southeast Queensland. Masters, Brisbane, University of Queensland.",thesis_masters,1982,na,chopper,no,subcategory,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I. 1982 A finger on the pulse: analysis of site location patterns in subcoastal Southeast Queensland. Masters, Brisbane, University of Queensland.",thesis_masters,1982,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I. 1984 Late Holocene subsistence and settlement in subcoastal Southeast Queensland. Queensland Archaeological Research 1:8–32.",paper,1984,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I. 1986 An open site survey of Koolburra Plateau, Cape York Peninsula. Queensland Archaeological Research 3:65–71.",paper,1986,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I. 1993 Recent Research In Southwestern Western Australia: A Summary Of Initial Findings. Australian Archaeology 36(1):34–41.",paper,1993,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Lilley, I. 2000 So near and Yet so Far: Reflections on Archaeology in Australia and Papua New Guinea, Intensification and Culture Contact. Australian Archaeology (50):36–44.",paper,2000,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Lilley, I. 2001 Of cowboys and core-tools: Revisionist reflections on Rhys Jones and ‘The Great Intensification Debate’. In A. Anderson, I. Lilley, and S. O’Connor (eds), pp.251–256. Histories of old ages: essays in honour of Rhys Jones. Canberra, Pandanus Books and Research School of Pacific and Asian Studies.",chapter,2001,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Lilley, I. and S. Ulm 1995 The Gooreng Gooreng Cultural Heritage Project: some proposed directions and preliminary results of the archaeological program. Australian Archaeology 41:11–15.",paper,1995,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I. and S. Ulm 1999 The Gooreng Gooreng Cultural Heritage Project: preliminary results of archaeological research, 1993-1997. Queensland Archaeological Research 11:1–14.",paper,1999,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Lilley, I., D. Brian, C. Clarkson, and S. Ulm 1998 Pleistocene Aboriginal occupation at Cania Gorge, central Queensland: Preliminary results of fieldwork. Archaeology in Oceania 33(1):28–31.",paper,1998,na,na,na,na,na,na,na,na,na,na,na,na,na,Queensland,
"Litster, M., A. Barham, J. Meyer, T.R. Maloney, C. Shipton, S. Fallon, R.C. Willan, and S. O’Connor 2020 Late Holocene coastal land-use, site formation and site survival: Insights from five middens at Cape Leveque and Lombadina, Dampier Peninsula, Kimberley, Australia. Australian Archaeology 86(2):118–136.",paper,2020,na,core,cites,category,"""Knapped stone artefact identification followed Hiscock (2007).""","Hiscock, P. 2007 Looking the other way: a materialist/technological approach to classifying tools and implements, cores and retouched flakes. In S.P. McPherron (ed.), pp.198–222. Tool versus cores: alternative approaches to stone tool analysis. Newcastle, Cambridge Scholars Publishing.",na,na,na,na,na,na,na,Western Australia,
"Lourandos, H. 1968 Dispersal of activities - the east Tasmanian Aboriginal sites. Papers and Proceedings of the Royal Society of Tasmania 102(2):41–46.",paper,1968,na,core,no,category,na,na,na,na,na,na,na,na,na,Tasmania,
"Lourandos, H. 1980 Forces of change: Aboriginal technology and poplulation in south western Victoria. PhD, Sydney, University of Sydney.",thesis_phd,1980,244,core fragment,yes,category,"""The nature of the material... was such, that a clear-cut definition between these two categories was not always possible. Cores, upon impact, could shatter into a number of fragments not all of which conformed to the above description. Because of this I had to devise the intermediary category of core-fragment.""",na,broad,no,no,explicit,no,explicit,typological,Victoria,
"Lourandos, H. 1980 Forces of change: Aboriginal technology and poplulation in south western Victoria. PhD, Sydney, University of Sydney.",thesis_phd,1980,244,core,yes,category,"""the parent body from which smaller fragments of stone (flakes) were derived. Cores bore signs of flake scars and negative bulbs of percussion."" Cores may also have retouch (pg 254).",na,broad,no,implicit,no,no,explicit,typological,Victoria,"definition contains no explicit functional component, but other categories imply that there is one"
"Lourandos, H. 1983 10,000 Years in the Tasmanian Highlands. Australian Archaeology (16):39–47.",paper,1983,na,core,no,category,na,na,na,na,na,na,na,na,na,Tasmania,
"Lourandos, H. 1985 Problems with the Interpretation of Late Holocene Changes in Australian Prehistory. Archaeology in Oceania 20(1):37–39.",paper,1985,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Lourandos, H. 1993 Hunter-gatherer cultural dynamics: Long- and short-term trends in Australian prehistory. Journal of Archaeological Research 1(1):67–88.",paper,1993,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Lourandos, H. 1997 Continent of hunter-gatherers: new perspectives in Australian prehistory. Cambridge, Cambridge University Press.",thesis_phd,1997,337,scraper,yes,subcategory,"""A general category of stone artefact (made either on flakes or cores) with retrimmed or utilised margins.""",na,na,no,explicit,no,no,explicit,typological,Australia,
"Lourandos, H. 1997 Continent of hunter-gatherers: new perspectives in Australian prehistory. Cambridge, Cambridge University Press.",book,1997,core,core,no,category,"No definition given within glossary, other lithic terms, e.g. adze, backed blade, blade, burren adze, debitage, points, scraper, tula adze, unifacial, are defined",na,na,na,na,na,na,na,na,Australia,"definition contains no explicit functional component, but other categories imply that there is one"
"Lourandos, H., B. David, N. Roche, C. Rowe, A. Holden, and S.J. Clarke 2012 Hay Cave: A 30,000-year cultural sequence from the Mitchell-Palmer limestone zone, north Queensland, Australia. In S. Haberle and B. David (eds), pp.27–64. Peopled landscapes: archaeological and biogeographic approaches to landscapes. Canberra, ANU E Press.",chapter,2012,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"Lourandos, H.J. 1970 Coast and hinterland : the archaeological sites of eastern Tasmania. Masters, Australian National University.",thesis_masters,1970,68,retouched core,yes,subcategory,"""All show use signs and some indicate a derivation from large flakes.""",na,broad,no,explicit,explicit,no,explicit,typological,Tasmania,
"Lourandos, H.J. 1970 Coast and hinterland : the archaeological sites of eastern Tasmania. Masters, Australian National University.",thesis_masters,1970,68,core,yes,category,"""Flake scars present suggest that these serve the purpose of nuclei, for the production of flakes""",na,broad,no,explicit,no,no,explicit,typological,Tasmania,
"Low, M.A. 2015 Investigating standardisation in the form of backed artefacts at two sites in the Hunter River valley, NSW, Australia. Australian Archaeology 80(1):60–69.",paper,2015,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"Lubbock, J. 1872 Pre-historic times : as illustrated by ancient remains, and the manners and customs of modern savages. New York, D. Appleton and Company.",book,1872,84,nucleus,yes,category,"""Long flint flakes were much in demand in the Stone Age for the manufacture of spear heads, etc., and these ‘livres de beurre’ appear to have been the blocks or nuclei from which they were obtained.""",na,broad,no,explicit,no,no,no,typological,global,
"Luebbers, R.A. 1978 Meals And Menus : A Study Of Change In Prehistoric Coastal Settlements In South Australia. PhD, Australia, Australian National University.",thesis_phd,1978,218,core,cites,category,"""The typological terminology used is taken from McCarthy (1967) and Mulvaney (1975.) and is based entirely upon non-metrical attributes.""","McCarthy, F.D. 1967 Australian Aboriginal stone implements: including bone, shell and tooth implements. Sydney, Australian Museum Trust.

Mulvaney, D.J. 1975 The prehistory of Australia. Revised edition. Harmondsworth, Pelican.",na,na,na,na,na,na,na,South Australia,
"Lyell, C. 1863 The geological evidence of the antiquity of man. London, John Murray.",book,1863,184,core or nucleus,yes,category,"""with numerous facets, from which flint flakes or knives had been struck off""",na,broad,no,explicit,no,no,explicit,typological,global,
"MacDonald, K., M. Ridges, and I. Davidson 1998 Report on the 1997 field season of the Bayswater Archaeological Research Project, NSW Hunter Valley. Australian Archaeology 46(1):37–38.",paper,1997,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"Mackay, A. 2005 Informal movements: changing mobility patterns at Ngarrabullgan, Cape York Australia. In C. Clarkson and L. Lamb (eds), pp.95–107. Lithics ‘Down Under’: Australian Perspectives on Lithic Reduction, Use and Classification. Oxford, Archaeopress.",chapter,2005,na,core,no,category,na,na,na,na,na,na,na,na,na,Queensland,
"MacPherson, P. 1885 Stone implements of the Aborigines of Australia and some other countries. Journal and Proceedings of the Royal Society of NSW 19:113–119.",paper,1885,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Maloney, T. and S. O’Connor 2014 Backed points in the Kimberley: revisiting the north-south division for backed artefact production in Australia. Australian Archaeology 79(1):146–155.",paper,2014,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Maloney, T., I.E. Dilkes-Hall, and J. Davis 2017 Indigenous led archaeological excavation at Moonggaroonggoo, Gooniyandi country, Western Australia, reveals late Holocene occupation. Australian Archaeology 83(3):178–184.",paper,2017,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Maloney, T., K. Akerman, and M. Street 2021 The Australian Yodda: A massive, mysterious, and pan-continental flaked stone oddity. Australian Archaeology 87(1):84–92.",paper,2021,"84, 89",yodda,yes,subcategory,"""Australian Yoddas have been identified as large tanged implements of flaked stone, with a curved distal end opposite a tang or narrow handle, ranging in size from 120 to 300 mm in length and between 1 and 5 kg in weight (Akerman 2004:48; McCarthy 1977:55).Figure 1 illustrates an example of a Yodda identified near Lake Argyle in the Kimberley of Western Australia (WA). Yoddas are described in early collector accounts as similar to a bicycle or ‘pushbike’ seat in plan view (Casey 1934:94, 1936:92; McCarthy 1941:371; McCourt 1975:108), being spathulate in shape, with flaked margins."" and ""Yoddas are technically cores, although flaking appears to be focussed on manufacture of a standardised shape.""","Akerman, K. 2004 ‘Stoning Fish?’: A Hitherto Unrecorded Class of Stone Artefact from the Coastal Pilbara. Australian Aboriginal Studies (1).

Casey, D.A. 1934 An uncommon type of stone implement from Australia and New Guinea. Memoirs of the National Museum, Victoria 8(VIII):94–99.

Casey, D.A. 1936 Ethnological notes. Memoirs of the National Museum, Victoria 9(IX):94–99.

McCarthy, F.D. 1941 Aboriginal ritual and mystery stones. Australian Museum Magazine 7(11):366–372.

McCarthy, F.D. 1977 Inhabiting the great south land. Australian Natural History 19(2):54–57.

McCourt, T. 1975 Aboriginal artefacts. Adelaide, Rigby.",na,no,explicit,explicit,no,explicit,typological,Australia,
"Maloney, T., K. Akerman, and M. Street 2021 The Australian Yodda: A massive, mysterious, and pan-continental flaked stone oddity. Australian Archaeology 87(1):84–92.",paper,2021,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Maloney, T., R. Wood, S. O’Connor, and R. Whitau 2015 Direct dating of resin hafted point technology in Australia. Australian Archaeology 81(1):35–43.",paper,2015,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Maloney, T., S. O’Connor, D. Vannieuwenhuyse, J. Balme, and J. Fyfe 2016 Re-excavation of Djuru, a Holocene rockshelter in the Southern Kimberley, North Western Australia. Australian Archaeology 82(1):80–85.",paper,2016,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Maloney, T., S. O’Connor, R. Wood, K. Aplin, and J. Balme 2018 Carpenters Gap 1: A 47,000 year old record of indigenous adaption and innovation. Quaternary Science Reviews 191:204–228.",paper,2018,na,core,cites,category,"""Stone artefacts were identified following Hiscock (2007:204)""","Hiscock, P. 2007 Looking the other way: a materialist/technological approach to classifying tools and implements, cores and retouched flakes. In S.P. McPherron (ed.), pp.198–222. Tool versus cores: alternative approaches to stone tool analysis. Newcastle, Cambridge Scholars Publishing.",na,na,na,na,na,na,na,Western Australia,
"Maloney, T., S. O’Connor, R. Wood, K. Aplin, and J. Balme 2018 Carpenters Gap 1: A 47,000 year old record of indigenous adaption and innovation. Quaternary Science Reviews 191:204–228.",paper,2018,na,bipolar core,no,subcategory,na,na,na,na,na,na,na,na,na,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2010,74,unidirectional core,yes,subcategory,"""The flaking direction was recorded as unidirectional, bidirectional, or multidirectional, based on the orientation of flake scar directions.""",na,na,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2010,74,bidirectional core,yes,subcategory,"""The flaking direction was recorded as unidirectional, bidirectional, or multidirectional, based on the orientation of flake scar directions.""",na,na,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2010,74,multidirectional core,yes,subcategory,"""The flaking direction was recorded as unidirectional, bidirectional, or multidirectional, based on the orientation of flake scar directions.""",na,na,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2010,74,single platform core,yes,subcategory,"""The number of platforms was counted and used to describe cores as single or multiplatform.""",na,na,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2010,74,multiplatform core,yes,subcategory,"""The number of platforms was counted and used to describe cores as single or multiplatform.""",na,na,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2015 Technological organisation and points in the southern Kimberley. PhD, Canberra, Australian National University.",thesis_phd,2015,69,core,yes,category,"""Cores retain one or more negative scars, and completely lack a ventral surface.""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Maloney, T.R. 2019 Towards Quantifying Teaching and Learning in Prehistory Using Stone Artifact Reduction Sequences. Lithic Technology 44(1):36–51.",paper,2019,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Maloney, T.R. and I.E. Dilkes-Hall 2020 Assessing the spread and uptake of tula adze technology in the late Holocene across the Southern Kimberley of Western Australia. Australian Archaeology 86(3):264–283.",paper,2020,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Maloney, T.R. and M. Street 2020 Hot debate: Identifying heat treatment in Australian archaeology using science and modern indigenous knowledge. Quaternary Science Reviews 241:106431.",paper,2020,na,core,cites,category,"""The total number of artefacts (TNA) are recorded as all flakes, flake fragments, retouched flakes, retouched flake fragments, cores, and flaked pieces (Hiscock, 2007).""","Hiscock, P. 2007 Looking the other way: a materialist/technological approach to classifying tools and implements, cores and retouched flakes. In S.P. McPherron (ed.), pp.198–222. Tool versus cores: alternative approaches to stone tool analysis. Newcastle, Cambridge Scholars Publishing.",na,na,na,na,na,na,na,Western Australia,
"Maloney, T.R., L.A. Wallis, I. Davidson, H. Burke, B. Barker, D. Melville, G. Jacks, and Y. Perston 2022 Lithic technologies from a stone hut and arrangement complex in Pitta Pitta Country Queensland, and the detection of social learning in archaeology. Australian Archaeology 88(2):180–199.",paper,2022,186,core,cites,category,"""An initial count of all flaked lithic artefacts was performed according to raw material types, and included the minimum number of flakes (MNF) and total number of artefacts (TNA) (Hiscock 2002, 2007:204).""","Hiscock, P. 2002 Quantifying the Size of Artefact Assemblages. Journal of Archaeological Science 29(3):251–258.

Hiscock, P. 2007 Looking the other way: a materialist/technological approach to classifying tools and implements, cores and retouched flakes. In S.P. McPherron (ed.), pp.198–222. Tool versus cores: alternative approaches to stone tool analysis. Newcastle, Cambridge Scholars Publishing.",na,na,na,na,na,na,na,Queensland,
"Maloney, T.R., S. O’Connor, and J. Balme 2017 The effect of retouch intensity on mid to late Holocene unifacial and bifacial points from the Kimberley. Australian Archaeology 83(1–2):42–55.",paper,2017,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Maloney, T.R., S. O’Connor, I.E. Dilkes-Hall, and M.C. Langley 2018 Late Holocene edge-ground axe production and marine shell beads from Brooking Gorge 1 rockshelter, southern Kimberley. Australian Archaeology 84(2):196–202.",paper,2018,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Mardaga-Campbell, M. 1986 Prehistoric Living-Floors and Evidence for them in North Queensland Rockshelters. Australian Archaeology 23(1):42–61.",paper,1986,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,Queensland,
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,Queensland,
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,pre-core,yes,subcategory,"""a piece of stone which shows preliminary shaping for a core by decortication and/or by unifacial or bifacial preparation of its edges to form a knapping surface which may even be a potential striking platform, but from which no further knapping has taken place (Kozlowski and Sachse-Kozlowska 1974:40-41, Mardaga 1975:97- 99, Sachse-Kozlowska 1980:246, Gob 1981:27).""","Gob, A. 1979 Le mésolithique dans le bassin de l’Ourthe. Memoire de la Societe Wallonne de Palethnologie 3:209–236.

Kozlowski, J.K. and E. Sachse-Kozlowska 1974 Archaeological finds from the Upper Palaeolithic site with dwellings of mammoth bones, Cracow, Spadz is ta Street B. Folia Quaternaria 44:30–86.

Mardaga, M. 1975 Dilsen (Kruisven), un site mésolithique à débitage Montbani. Dilsen (Kruisven), un site mésolithique à débitage Montbani 86:93–111.

Sachse-Kozlowska, E. 1980 Core exploitation process at the Aurignacian site Zwierzyniec I. In L. Banesz and J.K. Kozlowski (eds), pp.325–338. L’Aurignacien et le Gravettien (Perigordien) dans leur cadre ecologique. Nitra, Institute of Archaeology, Slovakian Academy of Sciences.",na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,initial core,yes,subcategory,"""a precore which has been taken a stage further so that it shows clear evidence of platform edge preparation and/or tentative striking (Mardaga 1975:99, Sachse-Kozlowska 1980:243). Initial cores may be further subdivided, though we would see the 'initially stuck cores' of Close et al. (1979:34) as a precore sub-type)""","Close, A.E., F. Wendorf, and R. Schild 1979 The Afian: a study of stylistic variation in a Nilotic industry. Dallas, Department of Anthropology, Southern Methodist University.

Mardaga, M. 1975 Dilsen (Kruisven), un site mésolithique à débitage Montbani. Dilsen (Kruisven), un site mésolithique à débitage Montbani 86:93–111.

Sachse-Kozlowska, E. 1980 Core exploitation process at the Aurignacian site Zwierzyniec I. In L. Banesz and J.K. Kozlowski (eds), pp.325–338. L’Aurignacien et le Gravettien (Perigordien) dans leur cadre ecologique. Nitra, Institute of Archaeology, Slovakian Academy of Sciences.",na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,core with preparation,yes,subcategory,"""a core on which flakes or blades have been struck from one or more platforms, and on which at least one prepared platform and/or case of edge preparation is still visible.""",na,na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,core with preparation,yes,subcategory,"""a core on which flakes or blades have been struck from one or more platforms, and on which at least one prepared platform and/or case of edge preparation is still visible.""",na,na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,core with no visible preparation,yes,subcategory,"""a core from which flakes or blades have  been struck, but on which there are no traces of plat-form edge prepartation.""",na,na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,111,exhausted core,yes,subcategory,"""a core which has been reduced to such an extent that further production of flakes and/or blades is not possible, but the piece itself is still recognisable as having been a core (see also Crabtree 1972:62, Speth 1981:19, Clark 1985:6 - though we use this, term in a somewhat broader sense than do these authors.""","Clark, J.E. 1985 Platforms, Bits, Punches and Vises: A Potpourri of Mesoamerican Blade Technology. Lithic Technology 14(1):1–15.

Crabtree, D.E. 1972 An introduction to flintworking. Pocatello, Idaho State University Museum.

Speth, J.D. 1981 The Role of Platform Angle and Core Size in Hard-Hammer Percussion Flaking. Lithic Technology 10(1):16–21.
",na,no,implicit,no,no,explicit,materialist,Queensland,description of formal tools type - which they do not explcitly define - includes cores
"Mardaga-Campbell, M. and J.B. Campbell 1985 Lithic occurences and stratigraphic problems at Turtle Rock (Hervey Range), North Queensland. Queensland Archaeological Research 2:98–131.",paper,1985,na,edge-ground core,no,subcategory,no explicit definition,na,na,na,na,na,na,na,na,Queensland,
"Mardaga-Campbell, M., A.B. Pomeroy, and J.B. Campbell 1982 Iit all hinges on stone: establishing a data bank for north Queensland prehistory. Australian Archaeology 14(1):67–71.",paper,1982,na,core,no,category,no explicit definition,na,na,na,na,na,na,na,na,Queensland,
"Marsh, M., P. Hiscock, D. Williams, P. Hughes, and M. Sullivan 2018 Watura Jurnti: A 42000–45000-year-long occupation sequence from the north-eastern Pilbara. Archaeology in Oceania 53(3):137–149.",paper,2018,na,core,cites,category,"""Their classification into different categories followed a materialist framework that enhances technological depictions of lithic assemblages, described at length elsewhere (Hiscock 2007).""","Hiscock, P. 2007 Looking the other way: a materialist/technological approach to classifying tools and implements, cores and retouched flakes. In S.P. McPherron (ed.), pp.198–222. Tool versus cores: alternative approaches to stone tool analysis. Newcastle, Cambridge Scholars Publishing.",na,na,na,na,na,na,na,Western Australia,
"Martellotta, E.F., A. Brumm, and M.C. Langley 2023 Tales of Multifunctionality: a Systematic Quantitative Literature Review of Boomerangs Used as Retouchers in Australian Aboriginal Cultures. Journal of Archaeological Method and Theory 30(1):310–334.",paper,2023,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"Marun, L.H. 1974 Mirning and their predecessors on the Coastal Nullarbor Plain. PhD, Sydney, University of Sydney.",thesis_phd,1974,na,core,no,category,na,na,na,na,na,na,na,na,na,South Australia,
"Marwick, B. 2002 Inland Pilbara archaeology: a study of variation in Aboriginal occupation over time and space on the Hammersley Plateau. Masters, Perth, University of Western Australia.",thesis_masters,2002,76,core,yes,category,"""defined here as an artefact with more than one negative flake scar and no bulb of percussion""",na,narrow,no,no,no,no,explicit,materialist,Western Australia,
"Marwick, B. 2002 Milly’s Cave: Evidence for Human Occupation of the Inland Pilbara during the Last Glacial Maximum. Tempus 7:21–33.",paper,2002,na,core,no,category,na,na,na,na,na,na,na,na,na,Western Australia,
"Marwick, B. 2009 Change or Decay? An interpretation of late Holocene archaeological evidence from the Hamersley Plateau, Western Australia. Archaeology in Oceania 44(S1):16–22.",paper,2009,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"Matchan, E.L., D. Phillips, F. Jourdan, and K. Oostingh 2020 Early human occupation of southeastern Australia: New insights from 40Ar/39Ar dating of young volcanoes. Geology.",paper,2020,na,na,na,na,na,na,na,na,na,na,na,na,na,Victoria,
"Matthews, J.M. 1966 The Hoabinhian Affinities of Some Australian Assemblages. Archaeology & Physical Anthropology in Oceania 1(1):5–22.",paper,1966,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Matthews, J.M. 1966 The Hoabinhian Affinities of Some Australian Assemblages. Archaeology & Physical Anthropology in Oceania 1(1):5–22.",paper,1966,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Matthews, J.M. 1966 The Hoabinhian Affinities of Some Australian Assemblages. Archaeology & Physical Anthropology in Oceania 1(1):5–22.",paper,1966,na,prepared core,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Matthews, J.M. 1966 The Hoabinhian Affinities of Some Australian Assemblages. Archaeology & Physical Anthropology in Oceania 1(1):5–22.",paper,1966,na,karta,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Matthews, J.M. 1966 The Hoabinhian Affinities of Some Australian Assemblages. Archaeology & Physical Anthropology in Oceania 1(1):5–22.",paper,1966,na,bifacially worked pebble artefact,no,subcategory,na,na,na,na,na,na,na,na,na,Australia,
"Matthews, J.M. 2016 Enmeshed with stone: implications of relational ontology for the archaeology of Australian stone artefacts. Master of Philosophy, Perth, The University of Western Australia.",thesis_masters,2016,na,core,no,category,na,na,na,na,na,na,na,na,na,Australia,
"Maynard, L. 1980 A Pleistocene Date from an Occupation Deposit in the Pilbara Region, Western Australia. Australian Archaeology 10(1):3–8.",paper,1980,na,na,na,na,na,na,na,na,na,na,na,na,na,Western Australia,
"McBryde, I. 1961 New Radiocarbon Dates for Australia. Antiquity 35(140):312–313.",paper,1961,na,uniface pebble tool,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1962 Archæological Field Survey Work in Northern New South Wales. Oceania 33(1):12–17.",paper,1962,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1965 Radio-Carbon Dates for Archaeological Sites in the Clarence Valley, Northern New South Wales. Oceania 35(4):260–266.",paper,1965,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1966 Radiocarbon Dates for Northern New South Wales. Antiquity 40(160):285–292.",paper,1966,na,na,na,na,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1968 Archaeological investigations in the Graman District. Archaeology and Physical Anthropology in Oceania 3(2):77–93.",paper,1968,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1973 Stone arrangements and quartzite quarry site at Brewarrina. Mankind 9:118–121.",paper,1973,na,core,no,category,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1974 Aboriginal prehistory in New England: an archaeological survey of northeastern New South Wales. Sydney, Sydney University Press.",book,1974,176,core,cites,category,"""The classification of artefacts followed in describing the finds from the site is of McCarthy in McCarthy, Brammel and Noone 'The Stone Implements of Australia' and Australian Aboriginal Stone Implements.""","McCarthy, F.D., E. Bramwell, and H.V.V. Noone 1946 The stone implements of Australia. Australian Museum Memoir 9:1–94.",na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1976 Seelands and Sai Yok Pebble Tools: A Further Consideration. Australian Archaeology 4(1):58–73.",paper,1976,na,horsehoof core,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1976 Seelands and Sai Yok Pebble Tools: A Further Consideration. Australian Archaeology 4(1):58–73.",paper,1976,na,core tool,no,subcategory,na,na,na,na,na,na,na,na,na,New South Wales,
"McBryde, I. 1978 ‘Wil-im-ee moor-ing’ or, where do axes come from? Mankind 11:354–382.",paper,1978,na,na,na,na,na,na,na,na,na,na,na,na,na,Victoria,
"McBryde, I. 1979 Ethnohistory in an Australian Context: Independent Discipline or Convenient Data Quarry? Aboriginal History 3(1/2):128–151.",paper,1979,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"McBryde, I. 1984 Exchange in South Eastern Australia: An Ethnohistorical Perspective. Aboriginal History 8(1/2):132–153.",paper,1984,na,na,na,na,na,na,na,na,na,na,na,na,na,Australia,
"McBryde, I. 1984 Kulin greenstone quarries: The social contexts of production and distribution for the Mt William site. World Archaeology 16(2):267–285.",paper,1984,na,core,no,category,na,na,na,na,na,na,na,na,na,Victoria,
"McBryde, I. 1984 Kulin greenstone quarries: The social contexts of production and distribution for the Mt William site. World Archaeology 16(2):267–285.",paper,1984,na,biface preform,no,subcategory,na,na,na,na,na,na,na,na,na,Victoria,
